Event_ID,Vendor_Name,Category,Contact_Email,Phone,Website,Date_Contacted,Time_Contacted,Status,Email_Subject,Message_ID,Notes
EVT-004,Stage Lights and Sound,AV Production,Sales@StageLightsandSound.com,(415) 652-0080,stagelightsandsound.com,2026-02-06,00:00 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f82fe7f9572,SF Bay Area full service event production
EVT-004,Bay Area AV Rentals,AV Production,Stagelightsandsound@gmail.com,(415) 652-0080,bayareaaudiovisualequipmentrentals.com,2026-02-06,00:01 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f8330839b71,20+ years experience
EVT-004,Talon Audio Visual,AV Production,info@talonaudiovisual.com,(530) 601-9690,talonaudiovisual.com,2026-02-06,00:02 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f8380d46b14,SF Bay Area event production
EVT-004,Impact SF,AV Production,info@impactsf.com,,impactsf.com,2026-02-06,00:03 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f83e786b098,Women-owned 30+ years experience
EVT-004,RentForEvent SF,AV Production,sf@rentforevent.com,,rentforevent.com,2026-02-06,00:04 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f86e54d5a70,Worked with Netflix CBS BET
EVT-004,Verducci Event Productions,AV Production,info@wearevep.com,,wearevep.com,2026-02-06,00:05 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f875b849665,SF Bay Area corporate events
EVT-004,Luma Creative,AV Production,info@lumacreative.com,,lumacreative.com,2026-02-06,00:06 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f87af9818a1,SF video production and AV
EVT-004,PSAV,AV Production,info@psav.com,,psav.com,2026-02-06,00:07 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f8e1da2a4f3,National AV company SF office
EVT-004,McCune Audio Visual,AV Production,info@mccune.com,,mccune.com,2026-02-06,00:08 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f8e62ba3547,Major SF Bay Area AV provider
EVT-004,VER (Video Equipment Rentals),AV Production,sanfrancisco@ver.com,,ver.com,2026-02-06,00:09 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f8eb25b89fe,Large scale production equipment
EVT-004,Encore Event Technologies,AV Production,info@encoreglobal.com,,encoreglobal.com,2026-02-06,00:10 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f8f19f90442,Global event technology company
EVT-004,Apex Sound & Light,AV Production,info@apexsoundandlight.com,,apexsoundandlight.com,2026-02-06,00:11 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f9265f872a6,Regional sound and lighting
EVT-004,Got Light,AV Production,info@gotlight.com,,gotlight.com,2026-02-06,00:12 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f92b88dd751,Lighting design and production
EVT-004,Audio Visions,AV Production,info@audiovisions.com,,audiovisions.com,2026-02-06,00:13 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f92f6101453,Audio visual event services
EVT-004,Fantasy Sound Event Services,AV Production,info@fantasysound.com,,fantasysound.com,2026-02-06,00:14 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f932084f275,Event sound specialists
EVT-004,AGI Entertainment,AV Production,info@agientertainment.com,,agientertainment.com,2026-02-06,00:15 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f96769b6808,Entertainment production services
EVT-004,Evolve Production Group,AV Production,info@evolvepg.com,,evolvepg.com,2026-02-06,00:16 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f96a8ad473a,Full service production company
EVT-004,Nth Degree Events,AV Production,info@nthdegree.com,,nthdegree.com,2026-02-06,00:17 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f96f935f0bb,Large scale event production
EVT-004,Showman Fabricators,AV Production,info@showman.com,,showman.com,2026-02-06,00:18 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f97238645a1,Event fabrication and AV
EVT-004,Bay Area Event Productions,AV Production,info@bayareaeventproductions.com,,bayareaeventproductions.com,2026-02-06,00:19 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f99fd218b13,Bay Area event specialists
EVT-004,Lightwave International,AV Production,info@lightwaveintl.com,,lightwaveintl.com,2026-02-06,00:20 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f9a3a2fe019,International lighting company
EVT-004,Production Plus,AV Production,info@productionplus.com,,productionplus.com,2026-02-06,00:21 PST,Email Sent,AV & Sound Production - Private Yacht Event,19c31f9a61db0261,Full production services
