Name,Category,Service_Type,Contact_Person,Email,Phone,Booking_Status,Response_Date,Total_Quote,Quote_Expires,Urgency,Strategic_Value,Notes
Best Mechanical Bull Rental,entertainment,mechanical_bull,,info@bestmechanicalbullrental.com,(408)-478-8755,inquired,,,,,,Email sent 2026-02-03 11:16 PST - Line dancing event inquiry
Prime Time Interactive,entertainment,mechanical_bull,,info@primetimeinteractive.com,1-800-916-4110,email_delivery_failed,,,,,,❌ EMAIL DELIVERY FAILED (Feb 5 13:00 PST) - info@primetimeinteractive.com rejected by recipient serv...
Dancing Cowboy,entertainment,dj_instruction,,info@dancingcowboy.com,408-890-7940,inquired,,,,,,Email sent 2026-02-03 11:17 PST - Country DJ + line dance instruction combo
Stage Lights and Sound,audio_visual,sound_equipment,,info@stagelightsandsound.com,,inquired,,,,,,Email sent 2026-02-03 11:18 PST - 200+ guest PA system rental
Epic Steak,venue,private_dining,,events@epicsteak.com,,inquired,,,,,,"Email sent 2026-02-03 11:18 PST - Feb 28 Quiver Lounge inquiry, 30 guests"
Atelier Crenn,venue,private_dining,,info@ateliercrenn.com,,responded,2026-02-03,,,,,"✅ Charlotte confirmed receipt 13:25 PST, forwarded to Events team. Follow-up reply sent 14:46 PST. A..."
Palio Restaurant,venue,private_dining,Valeria DiGrande,partyatpalio--valeria-digrande-@discussions.tripleseat.com,,responded,2026-02-03,,,,,✅ Valeria responded about Feb 21 event availability. Reply sent 14:46 PST thanking for information. ...
Angler SF,venue,private_dining,,info@anglersf.com,,responded,2026-02-03,,,,,✅ Responded directing groups 7+ to events team. Reply sent 14:46 PST. Need to contact events team if...
Over 21 Party Rentals,entertainment,mechanical_bull,Bleu Schultz,events@over21partyrentals.com,(888) 650-4386,responded,2026-02-04,,,,,✅ RESPONDED 17:11 PST - Bleu Schultz wants phone call tomorrow 9+ AM to discuss quote. Call schedule...
Toro Show Mechanical Bull Rentals,entertainment,mechanical_bull,Alberto Rodriguez,Toroshow@yahoo.com,(650) 400-2052,call_scheduled_ready_to_discuss,2026-02-05 12:41 PST,,,HIGH - Call scheduled for tomorrow,,✅ LATEST RESPONSE Feb 5 12:41 PST - Alberto confirmed interest and requested call for TOMORROW (Feb ...
Let's Party Salinas,entertainment,mechanical_bull,Summer Elam,party@letspartysalinas.com,888-630-3866,comprehensive_quote_provided_insurance_pending,2026-02-05 13:41 PST,4171.58,2026-02-06,HIGH - Quote expires tomorrow (Feb 6),high_end_option_creates_negotiation_leverage,"✅ COMPREHENSIVE QUOTE (Feb 5 13:41 PST) - Summer Elam provided detailed $4,171.58 quote including me..."
All Ears DJ,entertainment,dj,Richard Gintowt,allearsdj@gmail.com,785-766-2596,PRICING_REVISED_AWAITING_APPROVAL,2026-02-05 13:30 PST,1500,,"CRITICAL - Price increased +$100, decision needed",,⚠️ PRICING REVISED (Feb 5 13:30 PST) - Richard increased from $1400 to $1500 (+$100) but now include...
DJ Jeremy Productions,entertainment,dj,Jeremy & Jeannine Downing,info@djjeremyproductions.com,(415) 964-1060,inquired,,,,,,Email sent 2026-02-04 14:47 PST - Country/line dancing DJ inquiry for March 7
California Disc Jockey,entertainment,dj,,,(415) 350-5474,not_contacted,,,,,,Phone only contact - no email found
SF Bay Adventures,venue,yacht_charter,,info@sfbayadventures.com,(415) 331-0444,inquired,,,,,,Email sent 2026-02-04 18:54 PST - March 7 country line dancing yacht inquiry
City Cruises San Francisco (Hornblower),venue,yacht_charter,,,(415) 438-8300,scheduled_call,,,,,,"Call scheduled for Feb 5, 9 AM PST - March 7 line dancing yacht charter inquiry. $65/person starting..."
Boot Barn,sponsor,brand_partnership,,BootBarnIRMedia@bootbarn.com,,inquired,,,,,,Partnership proposal sent 2026-02-04 18:55 PST - Country line dancing yacht event sponsorship. Perfe...
PartyJump,entertainment,mechanical_bull,,,,potential_backup,,,,,,BACKUP VENDOR - Professionally operated & insured mechanical bull for SF Bay Area events
National Event Pros,entertainment,mechanical_bull,,,,potential_backup,,,,,,BACKUP VENDOR - Full service corporate mechanical bull rental with complete setup/supervision
Astro Jump North Bay,entertainment,mechanical_bull,,,,potential_backup,,,,,,BACKUP VENDOR - High-energy mechanical bull rentals for North Bay area events
Diamond Bull Rental,entertainment,mechanical_bull,,,,potential_backup,,,,,,BACKUP VENDOR - Claims to be #1 choice for mechanical bulls in Bay Area
Empress Events,venue,yacht_charter,,,,potential_backup,,,,,,"BACKUP YACHT - Up to 150 guests, multiple boarding locations, exclusive vendor network"
Yacht Connections International,venue,yacht_charter,,,,potential_backup,,,,,,BACKUP YACHT - Luxury motor yacht specialist for private group rentals
Luxe Cruises,venue,yacht_charter,,,,potential_backup,,,,,,BACKUP YACHT - Luxury fleet with in-house chef and custom dining experiences. Unique backdrop for sp...
San Francisco Party Charters,venue,yacht_charter,,,,potential_backup,,,,,,"BACKUP YACHT - Diverse fleet specialist for Bay Area boating adventures, late shift availability"
Reventals,entertainment,mechanical_bull,Juan Navas,info@reventals.com,,responded_positive_call_requested,2026-02-05 02:42,,,,,"✅ POSITIVE RESPONSE Feb 5 02:42 CST - Juan Navas very interested! Open to budget negotiation, wants ..."
Blue Skies Yacht,venue,yacht_charter,,,,potential_backup,,,,,,"BACKUP YACHT - Large capacity (330 guests), expansive deck space, versatile event capabilities"
Japanese Tea Garden - Pagoda Plaza,venue,private_events,,,(415) 661-1316,april_2026_pipeline,,,,,,🌸 APRIL 2026 STRATEGIC VENUE - Pagoda Plaza perfect for 30-50 person Japanese spring garden party. A...
Shuggie's Restaurant,venue,restaurant_private_dining,Addison Lott,shuggie-s-eb3f0a7fc0b4@reply.perfectvenue.com,,responded_available,2026-02-05 11:32 PST,,,MEDIUM - Feb 21 intimate dinner alternative,backup_option_for_feb_28_intimate_dinner,"✅ INBOUND RESPONSE (Feb 5 11:32 PST) - Addison Lott reached out about Feb 21, 2026 availability. Emp..."
Beretta Restaurant,venue,restaurant_private_dining,Michael Aldridge,backofthehouse--michael-aldridge-@discussions.tripleseat.com,,following_up_information_sent,2026-02-05 13:25 PST,,,MEDIUM - Director of Events following up,professional_venue_with_dedicated_events_team,✅ FOLLOW-UP RECEIVED (Feb 5 13:25 PST) - Michael Aldridge (Director of Events) following up on Feb 2...
