id,eventId,category,contactName,contactEmail,contactPhone,status,quoteAmount,quoteDetails,recommended,contactedAt,respondedAt,notes,createdAt,updatedAt
cmlroaf350023x4ldqymdp7j7,evt-001,venue,"Log Cabin",presidio@wedgewoodevents.com,,quote_received,19446.0,"Option 1 — recommended. 3 proposals total received.",1,2026-02-01T00:00:00.000+00:00,2026-02-10T00:00:00.000+00:00,"Option 1 at $19,446 is best fit. Recommended.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf350024x4ldo6cq0170,evt-001,venue,"Tracey Lyons (Presidio Golf Clubhouse)",presidio@wedgewoodevents.com,,quote_received,,,0,2026-02-05T00:00:00.000+00:00,"2026-02-23 13:00:00","Contacted Tracey Lyons. Awaiting response.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf350025x4lddzf1ofqz,evt-001,venue,"Bimbo's 365 Club",info@bimbos365club.com,"(415) 474-0365",contacted,,,0,2026-02-05T00:00:00.000+00:00,,"Contacted. No response yet.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf350026x4ldtwss009w,evt-001,venue,"Swedish American Hall",events@swedishamericanhall.com,"(415) 400-5108",contacted,,,0,2026-02-05T00:00:00.000+00:00,,"Contacted. No response yet.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf350027x4ld9v1a67j3,evt-001,venue,"Riggers Loft",info@riggersloftwine.com,"(415) 869-4087",contacted,,,0,2026-02-06T00:00:00.000+00:00,,"Waterfront venue. Contacted.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf350028x4ld58136yy1,evt-001,venue,"Karen Ortiz (Stable Cafe)",events@stablecafe.com,"(415) 552-1199",contacted,,,0,2026-02-06T00:00:00.000+00:00,,"Research completed Mar 6 2026 12:42 PM PST - Website: stablecafe.com, Address: 2128 Folsom St SF 94110, Events Contact: Karen Ortiz, Hours: Tue-Sun 8am-3pm (closed Mon), NOTE: 2 unread email responses from Feb 26-27 (7+ days overdue - requires follow-up)",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf350029x4ldg9f43xsh,evt-001,venue,"Sunnyside Conservatory",RPDReservations@sfgov.org,"(415) 831-5500",awaiting_quote,,,0,2026-02-07T00:00:00.000+00:00,,"Research completed Mar 6 2026 12:43 PM PST - City-owned venue managed by SF Rec & Park Dept, Address: 236 Monterey Blvd SF 94131, Website: sunnysideconservatory.org, Historic octagonal redwood building (1900), Available for private events",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf35002ax4ldn7dl5lo6,evt-001,dj,"All Ears DJ",info@allearsdjco.com,"(510) 269-3572",quote_received,1400.0,"Flat rate $1,400 for full event.",1,2026-02-08T00:00:00.000+00:00,2026-02-12T00:00:00.000+00:00,"RECOMMENDED. Best value flat rate.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf35002bx4ldr34elxox,evt-001,dj,"Total DJ",info@total-dj.com,"(510) 485-9015",quote_received,250.0,"$250/hr rate. Total cost depends on hours.",0,2026-02-08T00:00:00.000+00:00,2026-02-13T00:00:00.000+00:00,"Research completed Mar 6 2026 12:44 PM PST - Website: total-dj.com, Bay Area wedding & event DJ service, Award-winning (Best of LA 2015, WeddingWire Couples Choice Award), Hours: Mon-Sun 10am-10pm",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf35002cx4lddrbl389s,evt-001,dj,JustINtertainment,booking@justintertainment.com,,quote_received,,,0,2026-02-09T00:00:00.000+00:00,2026-02-14T00:00:00.000+00:00,"Quote received. Reviewing details.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf35002dx4ldpsndnnhx,evt-001,dj,"Bay Area Beats",info@bayareabeats.com,,awaiting_quote,,,0,2026-02-09T00:00:00.000+00:00,,"Intake form sent. 10% discount offered.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf35002ex4ld8qwl048e,evt-001,mechanical_bull,Astrojump,rentals@astrojump.com,"(877) 527-8765",quote_received,1299.0,"Mechanical bull + operator.",1,2026-02-10T00:00:00.000+00:00,2026-02-15T00:00:00.000+00:00,"Best price. $1,299 — tied with Party Jump.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf35002fx4ldpwho0gf1,evt-001,mechanical_bull,"Party Jump",info@partyjumponline.com,"(510) 887-5867",quote_received,1299.0,"Mechanical bull + operator.",0,2026-02-10T00:00:00.000+00:00,2026-02-15T00:00:00.000+00:00,"$1,299 — same as Astrojump.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf35002gx4ldica0pn3i,evt-001,mechanical_bull,"Let's Party",summer@letspartyproductions.com,"(925) 413-0010",declined,4171.0,"Full package with extras.",0,2026-02-10T00:00:00.000+00:00,2026-02-16T00:00:00.000+00:00,"$4,171 — too expensive. Declined.",2026-02-18T06:50:22.816+00:00,2026-02-18T06:50:22.816+00:00
cmlroaf38002lx4ldsq4ubel7,evt-002,entertainment,"Merrill Collier (Magician)",merrill@sanfranciscomagician.com,"(415) 812-5084",quote_received,1400.0,"30 min magic show for 30 guests.",0,2026-02-10T00:00:00.000+00:00,2026-02-12T00:00:00.000+00:00,"Decision PENDING past deadline. Zed needs to decide.",2026-02-18T06:50:22.820+00:00,2026-02-18T06:50:22.820+00:00
cmlroaf3g0030x4ldis7vpkl6,evt-001,venue,"Officers' Club (Presidio)",events@presidio.gov,,quote_received,14518.0,"Full venue rental. $11K F&B minimum included.",0,2026-02-03T00:00:00.000+00:00,2026-02-09T00:00:00.000+00:00,"$4,928 cheaper than Log Cabin but less rustic charm",2026-02-18T06:50:22.828+00:00,2026-02-18T06:50:22.828+00:00
cmlroaf3g0031x4lduacpwxuc,evt-001,venue,"Sunnyside Conservatory (SFRPD)",sfrpd@sfgov.org,,quote_received,500.0,"Permit fee for 70-person private event. March 28, 2-6 PM.",0,2026-02-07T00:00:00.000+00:00,2026-02-11T00:00:00.000+00:00,"Max 70 guests — too small for 300 target",2026-02-18T06:50:22.828+00:00,2026-02-18T06:50:22.828+00:00
cmlroaf3g0032x4ld0h385mz9,evt-001,dj,JustINtertainment,justin@justintertainment.com,,quote_received,,"Pricing received Feb 12 — exact amount not confirmed in records.",0,2026-02-09T00:00:00.000+00:00,2026-02-12T00:00:00.000+00:00,"Pricing proposal received. Amount to be confirmed.",2026-02-18T06:50:22.828+00:00,2026-02-18T06:50:22.828+00:00
cmlroaf3g0033x4ld7e18rmrr,evt-001,dj,"Bay Area Beats",booking@bayareabeats.com,,awaiting_quote,,"Sent intake form. 10% Venn discount offered. No quote received yet.",0,2026-02-09T00:00:00.000+00:00,2026-02-13T00:00:00.000+00:00,"Available and interested. Awaiting formal quote. | Alternative contact: booking@bayareabeats.com",2026-02-18T06:50:22.828+00:00,2026-02-18T06:50:22.828+00:00
cmlroaf3h0034x4ld3dlyc6x6,evt-003,venue,"California Academy of Sciences",events@calacademy.org,,declined,205000.0,"Full venue buyout. Includes exhibits access.",0,2026-02-01T00:00:00.000+00:00,2026-02-08T00:00:00.000+00:00,"REJECTED — 3.4x over $60K total budget | ⛔ ARCHIVED EVENT - DO NOT CONTACT",2026-02-18T06:50:22.828+00:00,2026-02-18T06:50:22.828+00:00
cmlroaf3h0035x4ldshd6tcyv,evt-003,catering,"Liquid Caterers",info@liquidcaterers.com,,cancelled,,"1920s themed bar service for 1000 guests. 18 yrs experience. Quote not yet received.",1,2026-02-10T00:00:00.000+00:00,2026-02-14T00:00:00.000+00:00,"Strong Gatsby aesthetic fit. Awaiting formal quote. | ⛔ ARCHIVED EVENT - DO NOT CONTACT | Event archived - do not contact",2026-02-18T06:50:22.828+00:00,"2026-03-09 11:18:02"
cmlroaf3i0036x4ldyjs1frkr,evt-004,charter,"Red & White Fleet (Enhydra)",events@redandwhite.com,,follow_up_received,10800.0,"Enhydra vessel charter. 400 guest capacity. 4-hour cruise.",1,2026-02-01T00:00:00.000+00:00,"2026-03-04 21:47:04","Follow-up email received 13:41 PM (thread 19c31f7758cc7144). Gmail marked IMPORTANT. Requires Zed review - cannot read body with gog CLI. Charter pricing/terms discussion.",2026-02-18T06:50:22.830+00:00,2026-02-18T06:50:22.830+00:00
cmlroaf3i0037x4ldx81ujuou,evt-004,entertainment,THEYimprov,booking@theyimprov.com,,awaiting_quote,,"Confirmed available April 19. No quote received yet.",1,2026-02-08T00:00:00.000+00:00,2026-02-12T00:00:00.000+00:00,"Available April 19. Awaiting formal pricing.",2026-02-18T06:50:22.830+00:00,2026-02-18T06:50:22.830+00:00
cmlroaf3i0038x4ldgtho0ttz,evt-004,catering,"Salt & Honey Catering",events@saltandhoney.com,,awaiting_quote,,,0,2026-02-10T00:00:00.000+00:00,,"Awaiting date confirmation before quote.",2026-02-18T06:50:22.830+00:00,2026-02-18T06:50:22.830+00:00
cmlroaf3i0039x4ldk3wzouvp,evt-004,av,"AVT Productions",info@avtproductions.com,,awaiting_quote,,,0,2026-02-10T00:00:00.000+00:00,,"Awaiting date confirmation.",2026-02-18T06:50:22.830+00:00,2026-02-18T06:50:22.830+00:00
cmlroaf3i003ax4ldugq98e0c,evt-004,photography,"Slava Blazer Photography",slava@slavablazer.com,,awaiting_quote,,,0,2026-02-10T00:00:00.000+00:00,,"Awaiting date confirmation.",2026-02-18T06:50:22.830+00:00,2026-02-18T06:50:22.830+00:00
cmlroaf47004dx4ldnc7xpzyl,evt-001,venue,"The Lodge at The Regency Center",specialeventvenues@aegpresents.com,,contacted,,,0,2026-02-17T00:00:00.000+00:00,,"Gothic architecture, 35-ft ceilings, fireplace. Contacted Feb 17. Awaiting response. March 22 or 29 preferred.",2026-02-18T06:50:22.855+00:00,2026-02-18T06:50:22.855+00:00
vo-46643,evt-nostalgia-2414,venue,"Retro Junkie",info@retrojunkiebar.com,925-938-4140,researching,,,1,"2026-02-22 22:00:20",,"Walnut Creek location (not SF). 80s-themed arcade bar, 2112 N Main St","2026-02-22 22:00:20","2026-03-06 16:13:36"
vo-63641,evt-nostalgia-2414,venue,"Emporium SF",sf@emporiumarcadebar.com,773-697-7922,researching,,,1,"2026-02-22 22:00:20",,"616 Divisadero St, SF. 4-level arcade bar in restored Harding Theater. Capacity 900, BYOF allowed","2026-02-22 22:00:20","2026-03-06 13:38:37"
vo-93613,evt-nostalgia-2414,venue,"Thriller Social Club",events@thrillersocialclub.com,,researching,,,1,"2026-02-22 22:00:20",,"Thriller Social Club - 10,000 sq ft SOMA venue across two floors, 4th & Bryant St. Perfect for private events and large group buyouts. Website: thrillersocialclub.com. Located near Caltrain Depot and Moscone Center. Great for 80s/90s nostalgia theme (large capacity, nightclub atmosphere).","2026-02-22 22:00:20","2026-03-06 16:13:16"
vo-32525,evt-silent-disco-13557,venue,"Shelby's Rooftop",FORM_ONLY,650-302-5079,researching,,,1,"2026-02-23 08:05:36",,"250 4th St, SF. Rooftop venue, contact via shelbysrooftopsf.com/private-events form","2026-02-23 08:05:36","2026-02-23 08:05:36"
vo-6678,evt-silent-disco-13557,venue,"City View at Metreon",info@cityviewsf.com,"(415) 369-6201",researching,,,1,"2026-02-23 08:05:36",,"Newly renovated, central SoMa. 200+ capacity. Est: $5,000. cityviewmetreon.com","2026-02-23 08:05:36","2026-02-23 08:05:36"
vo-93973,evt-silent-disco-13557,venue,"Chase Center 9th Floor",events@chasecenter.com,"(415) 231-3000",researching,,,1,"2026-02-23 08:05:36",,"Premium waterfront, up to 200. Est: $6,000-8,000. High-end option.","2026-02-23 08:05:36","2026-02-23 08:05:36"
vo-41653,evt-silent-disco-13557,entertainment,"Where's My Disco",wheresmydisco@gmail.com,,researching,,,1,"2026-02-23 08:05:36",,"TOP PICK: SF/Marin based. Premium 3-channel LED headphones. $15-25/headset = $3,500-5,000 for 200. wheresmydisco.com","2026-02-23 08:05:36","2026-02-23 08:05:36"
vo-76343,evt-silent-disco-13557,entertainment,"Silence Activations",info@silenceactivations.com,,researching,,,1,"2026-02-23 08:05:36",,"Full service: DJs, staging, lighting. State-of-the-art LED. $4,000-6,000. silenceactivations.com","2026-02-23 08:05:36","2026-02-23 08:05:36"
vo-11979,evt-silent-disco-13557,dj,"Bay Area Beats",info@bayareabeats.com,,researching,,,1,"2026-02-23 08:05:36",,"Hip hop/R&B channel. Urban contemporary specialist. Est: $1,500-2,000","2026-02-23 08:05:36","2026-02-23 08:05:36"
vo-98921,evt-silent-disco-13557,partner,"Music Tech Sponsors",,,researching,,,1,"2026-02-23 08:05:36",,"Research attempted Mar 6 2026 12:47 PM PST - NO RESULTS: ""Music Tech Sponsors"" appears to be category name, not a specific vendor. Requires clarification/replacement with actual sponsor company name.","2026-02-23 08:05:36","2026-02-23 08:05:36"
vo-96781,evt-masquerade-21277,venue,"The Regency Ballroom",info@theregencyballroom.com,"(415) 673-5716",researching,,,1,"2026-02-23 08:07:19",,"TOP PICK: Neo classical, 35ft ceilings, 22 chandeliers. 200-1,400 capacity. Est: $7,500. theregencyballroom.com","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-4411,evt-masquerade-21277,venue,"Julia Morgan Ballroom",events@juliamorgan.com,"(415) 788-7152",researching,,,1,"2026-02-23 08:07:19",,"Timeless elegance, grand architecture, downtown SF. Perfect theme match. Est: $10,000","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-56951,evt-masquerade-21277,venue,"Jill Schnaps","[email protected]","(415) 772-5184",researching,,,1,"2026-02-23 08:07:19",,"Research completed Mar 6 2026 12:48 PM PST - Event Sales Manager, Website: fairmont-san-francisco.com, Address: 950 Mason St SF 94108 (Nob Hill), Historic Venetian Room venue (24ft ceilings, where Tony Bennett first sang ""I Left My Heart in SF""), Multiple ballrooms available, Main: (415) 772-5000","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-58152,evt-masquerade-21277,catering,"McCalls Catering",info@mccallscatering.com,"(415) 552-8550",researching,,,1,"2026-02-23 08:07:19",,"Upscale SF caterer. Multi-course plated, champagne towers. $75-95/person","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-93043,evt-masquerade-21277,catering,"Fraiche Catering",chi@fraichecater.com,,researching,,,1,"2026-02-23 08:07:19",,"Farm-to-table elevated cuisine, beautiful presentation. $70-85/person","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-58893,evt-masquerade-21277,entertainment,"String Quartet + Jazz Vocalist",,,researching,,,1,"2026-02-23 08:07:19",,"Research attempted Mar 6 2026 12:49 PM PST - GENERIC CATEGORY: ""String Quartet + Jazz Vocalist"" is service type, not specific vendor name. Requires replacement with actual musician/entertainment company name. | GENERIC PLACEHOLDER - specify actual vendor/band before outreach","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-96337,evt-masquerade-21277,entertainment,"Mystery Performers",,,researching,,,1,"2026-02-23 08:07:19",,"Research attempted Mar 6 2026 12:49 PM PST - GENERIC CATEGORY: ""Mystery Performers"" is service type, not specific vendor name. Requires replacement with actual entertainment company name. | GENERIC PLACEHOLDER - specify actual vendor/band before outreach","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-3817,evt-masquerade-21277,photography,"Jack Simpson Photography",jack@jacksimpson.com,707-690-0106,researching,,,1,"2026-02-23 08:07:19",,"Elegant event specialist. 5-star vendor. Est: $1,500-2,500","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-93281,evt-masquerade-21277,partner,"Luxury Brand Sponsors",,,researching,,,1,"2026-02-23 08:07:19",,"Research attempted Mar 6 2026 12:49 PM PST - GENERIC CATEGORY: ""Luxury Brand Sponsors"" is category name, not specific company. Requires replacement with actual brand names.","2026-02-23 08:07:19","2026-02-23 08:07:19"
vo-hornblower-A87E1411,evt-004,yacht,"City Cruises (Hornblower)",karyn.carreon@cityexperiences.com,415-438-8300,researching,,,1,"2026-02-23 12:40:35",,"Pier 3 Hornblower Landing, SF. City Cruises (formerly Hornblower). Media contact: Karyn Carreon","2026-02-23 12:40:35","2026-02-23 12:40:35"
