Name,Category,Service Type,Email,Phone,Website,Contact Person,Location/Service Area,Booking Status,Last Contacted,Notes,Pricing,Features
Log Cabin at the Presidio,venue,,events@logcabin.com,415-555-0123,,,,quoted,,Email from events@logcabin.com,"{'base_rental': 45.0, 'per_person': 45.0, 'minimum_spend': 12000.0, 'deposit_required': 1750.0, 'date_quoted': '2026-02-03'}",
Best Mechanical Bull Rental,entertainment,mechanical_bull,info@bestmechanicalbullrental.com,(408)-478-8755,https://bestmechanicalbullrental.com/san-francisco-oakland-san-jose,,"SF Bay Area, Oakland, San Jose",inquired,2026-02-03,Email sent 2026-02-03 11:16 PST - Line dancing event inquiry,,[]
Prime Time Interactive,entertainment,mechanical_bull,info@primetimeinteractive.com,1-800-916-4110,https://www.primetimeinteractive.com/products-mechanical-bull-rentals-locations-bay-area/,,"SF Bay Area, Northern California",inquired,2026-02-03,Email sent 2026-02-03 11:16 PST - 200+ guest event quote request,,[]
Dancing Cowboy,entertainment,dj_instruction,info@dancingcowboy.com,408-890-7940,http://www.dancingcowboy.com/,,"San Jose, San Francisco",inquired,2026-02-03,Email sent 2026-02-03 11:17 PST - Country DJ + line dance instruction combo,,"['country_dj', 'line_dance_instruction', 'couples_dance_lessons']"
Stage Lights and Sound,audio_visual,sound_equipment,info@stagelightsandsound.com,,https://stagelightsandsound.com/audio_rental_sf_bay_area,,"SF, Oakland, San Jose, Mt View, Sunnyvale, Sausalito, Napa, Walnut Creek",inquired,2026-02-03,Email sent 2026-02-03 11:18 PST - 200+ guest PA system rental,,"['pa_systems', 'audio_mixers', 'microphones', 'speakers', 'stage_lighting']"
Epic Steak,venue,private_dining,events@epicsteak.com,,https://www.epicsteak.com/private-events/,,San Francisco Waterfront,inquired,2026-02-03,"Email sent 2026-02-03 11:18 PST - Feb 28 Quiver Lounge inquiry, 30 guests",,[]
Atelier Crenn,venue,private_dining,info@ateliercrenn.com,,https://www.ateliercrenn.com/,,San Francisco,responded,2026-02-03,"✅ Charlotte confirmed receipt 13:25 PST, forwarded to Events team. Follow-up reply sent 14:46 PST. Awaiting Events team contact. Original inquiry: Feb 28 ultra-premium private dining, 30 guests",,[]
Palio Restaurant,venue,private_dining,partyatpalio--valeria-digrande-@discussions.tripleseat.com,,,Valeria DiGrande,San Francisco,responded,2026-02-03,✅ Valeria responded about Feb 21 event availability. Reply sent 14:46 PST thanking for information. Need internal team discussion.,,[]
Angler SF,venue,private_dining,info@anglersf.com,,,,San Francisco,responded,2026-02-03,✅ Responded directing groups 7+ to events team. Reply sent 14:46 PST. Need to contact events team if proceeding.,,[]
Over 21 Party Rentals,entertainment,mechanical_bull,events@over21partyrentals.com,(888) 650-4386,https://over21partyrentals.com/product/bull-ride-rental/,Bleu Schultz,"Monterey Bay, San Jose, SF Bay Area, Northern California",responded,2026-02-04,✅ RESPONDED 17:11 PST - Bleu Schultz wants phone call tomorrow 9+ AM to discuss quote. Call scheduled for 10-11 AM PST. Follow-up sent 17:01 PST.,,"['LED_timer', 'soft_head', 'foam_horns', 'inflatable_mat']"
Toro Show Mechanical Bull Rentals,entertainment,mechanical_bull,Toroshow@yahoo.com,,https://toroshowmbr.com/,,SF Bay Area and surrounding areas,inquired,2026-02-04,Email sent 2026-02-04 14:47 PST - March 7 event quote request,,[]
Let's Party Salinas,entertainment,mechanical_bull,party@letspartysalinas.com,888-630-3866,https://letspartysalinas.com/,,"Bay Area, serving since 1996",inquired,2026-02-04,Email sent 2026-02-04 10:02 PST - March 7 line dancing event inquiry,,"['LED_timer', '26_years_experience']"
All Ears DJ,entertainment,dj,allearsdj@gmail.com,785-766-2596,https://www.allearsdj.com/,Richard Gintowt,"SF Bay Area, Chicago",responded_positive,2026-02-04,"✅ RESPONDED 15:00 PST - Available March 7! $350/hr, includes 12 uplights, country music expertise, can connect with line dancing instructors. Follow-up sent 17:01 PST.","{'hourly_rate': 350, 'includes': ['12_wireless_uplights'], 'additional_services': ['photobooth', 'line_dancing_instructor_connections']}","['club_dj', 'wedding_dj', 'corporate_events', 'country_music', 'vinyl', 'live_saxophone', 'photobooth']"
DJ Jeremy Productions,entertainment,dj,info@djjeremyproductions.com,(415) 964-1060,https://www.djjeremyproductions.com/,Jeremy & Jeannine Downing,SF Bay Area,inquired,2026-02-04,Email sent 2026-02-04 14:47 PST - Country/line dancing DJ inquiry for March 7,,"['wedding_dj', 'corporate_events', 'photobooth', 'uplighting']"
California Disc Jockey,entertainment,dj,,(415) 350-5474,https://californiadiscjockey.com/,,SF Bay Area,not_contacted,,Phone only contact - no email found,,"['weddings', 'events', 'birthdays', 'corporate']"
